gender,distance_m,age,factor
M,800,72,0.7363
M,800,73,0.7300
M,800,74,0.7238
M,800,75,0.7169
M,800,76,0.7095
M,800,77,0.7014
M,800,78,0.6928
M,800,79,0.6836
M,800,80,0.6737
M,800,81,0.6633
M,800,82,0.6523
M,800,83,0.6406
M,800,84,0.6284
M,800,85,0.6156
M,800,86,0.6022
M,800,87,0.5882
M,800,88,0.5735
M,800,89,0.5583
M,800,90,0.5425
M,800,91,0.5261
M,800,92,0.5091
M,800,93,0.4915
M,800,94,0.4733
M,800,95,0.4544
M,800,96,0.4350
M,800,97,0.4150
M,800,98,0.3944
M,800,99,0.3732
M,800,100,0.3514
M,800,101,0.3289
M,800,102,0.3059
M,800,103,0.2823
M,800,104,0.2580
M,800,105,0.2332
M,800,106,0.2078
M,800,107,0.1817
M,800,108,0.1551
M,800,109,0.1279
M,800,110,0.1000
M,1000,20,1.0000
M,1000,21,1.0000
M,1000,22,1.0000
M,1000,23,1.0000
M,1000,24,1.0000
M,1000,25,1.0000
M,1000,26,1.0000
M,1000,27,1.0000
M,1000,28,1.0000
M,1000,29,1.0000
M,1000,30,1.0000
M,1000,31,1.0000
M,1000,32,1.0000
M,1000,33,1.0000
M,1000,34,1.0000
M,1000,35,0.9997
M,1000,36,0.9923
M,1000,37,0.9849
M,1000,38,0.9776
M,1000,39,0.9702
M,1000,40,0.9629
M,1000,41,0.9556
M,1000,42,0.9483
M,1000,43,0.9411
M,1000,44,0.9338
M,1000,45,0.9266
M,1000,46,0.9194
M,1000,47,0.9122
M,1000,48,0.9051
M,1000,49,0.8979
M,1000,50,0.8908
M,1000,51,0.8838
M,1000,52,0.8767
M,1000,53,0.8696
M,1000,54,0.8626
M,1000,55,0.8556
M,1000,56,0.8486
M,1000,57,0.8416
M,1000,58,0.8347
M,1000,59,0.8277
M,1000,60,0.8208
M,1000,61,0.8139
M,1000,62,0.8070
M,1000,63,0.8002
M,1000,64,0.7934
M,1000,65,0.7865
M,1000,66,0.7797
M,1000,67,0.7729
M,1000,68,0.7662
M,1000,69,0.7594
M,1000,70,0.7527
M,1000,71,0.7459
M,1000,72,0.7392
M,1000,73,0.7325
M,1000,74,0.7259
M,1000,75,0.7188
M,1000,76,0.7112
M,1000,77,0.7032
M,1000,78,0.6946
M,1000,79,0.6854
M,1000,80,0.6756
M,1000,81,0.6652
M,1000,82,0.6541
M,1000,83,0.6425
M,1000,84,0.6302
M,1000,85,0.6173
M,1000,86,0.6038
M,1000,87,0.5897
M,1000,88,0.5750
M,1000,89,0.5596
M,1000,90,0.5436
M,1000,91,0.5270
M,1000,92,0.5098
M,1000,93,0.4920
M,1000,94,0.4736
M,1000,95,0.4545
M,1000,96,0.4349
M,1000,97,0.4146
M,1000,98,0.3937
M,1000,99,0.3722
M,1000,100,0.3500
M,1000,101,0.3273
M,1000,102,0.3039
M,1000,103,0.2799
M,1000,104,0.2553
M,1000,105,0.2300
M,1000,106,0.2041
M,1000,107,0.1776
M,1000,108,0.1504
M,1000,109,0.1225
M,1000,110,0.0939
M,1500,20,1.0000
M,1500,21,1.0000
M,1500,22,1.0000
M,1500,23,1.0000
M,1500,24,1.0000
M,1500,25,1.0000
M,1500,26,1.0000
M,1500,27,1.0000
M,1500,28,1.0000
M,1500,29,1.0000
M,1500,30,1.0000
M,1500,31,1.0000
M,1500,32,1.0000
M,1500,33,0.9973
M,1500,34,0.9911
M,1500,35,0.9849
M,1500,36,0.9786
M,1500,37,0.9723
M,1500,38,0.9660
M,1500,39,0.9596
M,1500,40,0.9532
M,1500,41,0.9468
M,1500,42,0.9403
M,1500,43,0.9338
M,1500,44,0.9272
M,1500,45,0.9206
M,1500,46,0.9140
M,1500,47,0.9073
M,1500,48,0.9006
M,1500,49,0.8939
M,1500,50,0.8871
M,1500,51,0.8803
M,1500,52,0.8734
M,1500,53,0.8666
M,1500,54,0.8596
M,1500,55,0.8527
M,1500,56,0.8457
M,1500,57,0.8387
M,1500,58,0.8316
M,1500,59,0.8246
M,1500,60,0.8174
M,1500,61,0.8103
M,1500,62,0.8031
M,1500,63,0.7959
M,1500,64,0.7887
M,1500,65,0.7814
M,1500,66,0.7741
M,1500,67,0.7668
M,1500,68,0.7594
M,1500,69,0.7520
M,1500,70,0.7446
M,1500,71,0.7371
